index,mid,display_name,Map
0,/m/09x0r,Speech,Speech
1,/m/0ytgt,"Child speech, kid speaking",Speech
2,/m/01h8n0,Conversation,Speech
3,/m/02qldy,"Narration, monologue",Speech
4,/m/0261r1,Babbling,Speech
5,/m/0brhx,Speech synthesizer,Speech
6,/m/07p6fty,Shout,Expression
7,/m/07q4ntr,Bellow,Expression
8,/m/07rwj3x,Whoop,Expression
9,/m/07sr1lc,Yell,Expression
10,/t/dd00135,Children shouting,Expression
11,/m/03qc9zr,Screaming,Expression
12,/m/02rtxlg,Whispering,Expression
13,/m/01j3sz,Laughter,Expression
14,/t/dd00001,Baby laughter,Expression
15,/m/07r660_,Giggle,Expression
16,/m/07s04w4,Snicker,Expression
17,/m/07sq110,Belly laugh,Expression
18,/m/07rgt08,"Chuckle, chortle",Expression
19,/m/0463cq4,"Crying, sobbing",Expression
20,/t/dd00002,"Baby cry, infant cry",Expression
21,/m/07qz6j3,Whimper,Expression
22,/m/07qw_06,"Wail, moan",Expression
23,/m/07plz5l,Sigh,Expression
24,/m/015lz1,Singing,Human Activities
25,/m/0l14jd,Choir,Human Activities
26,/m/01swy6,Yodeling,Human Activities
27,/m/02bk07,Chant,Human Activities
28,/m/01c194,Mantra,Human Activities
29,/t/dd00005,Child singing,Human Activities
30,/t/dd00006,Synthetic singing,Human Activities
31,/m/06bxc,Rapping,Human Activities
32,/m/02fxyj,Humming,Human Activities
33,/m/07s2xch,Groan,Human Activities
34,/m/07r4k75,Grunt,Human Activities
35,/m/01w250,Whistling,Human Activities
36,/m/0lyf6,Breathing,Human Activities
37,/m/07mzm6,Wheeze,Human Activities
38,/m/01d3sd,Snoring,Human Activities
39,/m/07s0dtb,Gasp,Human Activities
40,/m/07pyy8b,Pant,Human Activities
41,/m/07q0yl5,Snort,Human Activities
42,/m/01b_21,Cough,Human Activities
43,/m/0dl9sf8,Throat clearing,Human Activities
44,/m/01hsr_,Sneeze,Human Activities
45,/m/07ppn3j,Sniff,Human Activities
46,/m/06h7j,Run,Human Activities
47,/m/07qv_x_,Shuffle,Human Activities
48,/m/07pbtc8,"Walk, footsteps",Human Activities
49,/m/03cczk,"Chewing, mastication",Human Activities
50,/m/07pdhp0,Biting,Human Activities
51,/m/0939n_,Gargling,Human Activities
52,/m/01g90h,Stomach rumble,Human Activities
53,/m/03q5_w,"Burping, eructation",Human Activities
54,/m/02p3nc,Hiccup,Human Activities
55,/m/02_nn,Fart,Human Activities
56,/m/0k65p,Hands,Human Activities
57,/m/025_jnm,Finger snapping,Human Activities
58,/m/0l15bq,Clapping,Human Activities
59,/m/01jg02,"Heart sounds, heartbeat",Human Activities
60,/m/01jg1z,Heart murmur,Human Activities
61,/m/053hz1,Cheering,Human Activities
62,/m/028ght,Applause,Human Activities
63,/m/07rkbfh,Chatter,Human Activities
64,/m/03qtwd,Crowd,Human Activities
65,/m/07qfr4h,"Hubbub, speech noise, speech babble",Human Activities
66,/t/dd00013,Children playing,Human Activities
67,/m/0jbk,Animal,Animal Sound
68,/m/068hy,"Domestic animals, pets",Animal Sound
69,/m/0bt9lr,Dog,Animal Sound
70,/m/05tny_,Bark,Animal Sound
71,/m/07r_k2n,Yip,Animal Sound
72,/m/07qf0zm,Howl,Animal Sound
73,/m/07rc7d9,Bow-wow,Animal Sound
74,/m/0ghcn6,Growling,Animal Sound
75,/t/dd00136,Whimper (dog),Animal Sound
76,/m/01yrx,Cat,Animal Sound
77,/m/02yds9,Purr,Animal Sound
