,SceneNumber,image_name,settings1,settings2,settings3,objects,people count,activities_content
0,1,/content/output/7//FramesSavedHere/1/img_000001.png,others,others,closeup,others,single,violence
1,1,/content/output/7//FramesSavedHere/1/img_000002.png,others,others,closeup,others,single,violence
2,1,/content/output/7//FramesSavedHere/1/img_000003.png,others,others,closeup,others,single,violence
3,1,/content/output/7//FramesSavedHere/1/img_000004.png,others,others,side,Trains,single,others
4,1,/content/output/7//FramesSavedHere/1/img_000005.png,others,others,side,Trains,single,others
5,1,/content/output/7//FramesSavedHere/1/img_000006.png,blurry place,others,others,Buses,single,transportation
6,1,/content/output/7//FramesSavedHere/1/img_000007.png,others,others,side,Trains,single,others
7,1,/content/output/7//FramesSavedHere/1/img_000008.png,others,others,side,Trains,single,others
8,1,/content/output/7//FramesSavedHere/1/img_000009.png,others,others,side,Trains,single,others
9,1,/content/output/7//FramesSavedHere/1/img_000010.png,street,night time,others,Buses,others,others
10,1,/content/output/7//FramesSavedHere/1/img_000011.png,street,red light,others,Buses,single,still
11,1,/content/output/7//FramesSavedHere/1/img_000012.png,street,red light,others,Buses,others,others
12,1,/content/output/7//FramesSavedHere/1/img_000013.png,street,low light,others,Buses,others,others
13,1,/content/output/7//FramesSavedHere/1/img_000014.png,street,night time,others,Buses,single,others
14,1,/content/output/7//FramesSavedHere/1/img_000015.png,street,low light,others,Buses,single,still
15,1,/content/output/7//FramesSavedHere/1/img_000016.png,vehicles,others,others,Trains,others,others
16,1,/content/output/7//FramesSavedHere/1/img_000017.png,blurry place,low light,others,Pedestrians,others,still
17,1,/content/output/7//FramesSavedHere/1/img_000018.png,blurry place,red light,others,Suits,others,still
18,1,/content/output/7//FramesSavedHere/1/img_000019.png,vehicles,red light,others,Buses,single,others
19,1,/content/output/7//FramesSavedHere/1/img_000020.png,vehicles,others,others,others,single,others
20,1,/content/output/7//FramesSavedHere/1/img_000021.png,vehicles,others,others,Trains,single,others
21,1,/content/output/7//FramesSavedHere/1/img_000022.png,vehicles,blue light,side,Buses,single,others
22,1,/content/output/7//FramesSavedHere/1/img_000023.png,others,others,side,others,single,others
23,1,/content/output/7//FramesSavedHere/1/img_000024.png,others,others,side,others,single,others
24,1,/content/output/7//FramesSavedHere/1/img_000025.png,vehicles,night time,others,Vehicles,others,still
25,1,/content/output/7//FramesSavedHere/1/img_000026.png,vehicles,low light,others,Vehicles,others,still
26,1,/content/output/7//FramesSavedHere/1/img_000027.png,others,low light,others,Vehicles,others,others
27,1,/content/output/7//FramesSavedHere/1/img_000028.png,others,low light,closeup,Vehicles,single,still
28,1,/content/output/7//FramesSavedHere/1/img_000029.png,others,low light,closeup,Vehicles,others,still
29,1,/content/output/7//FramesSavedHere/1/img_000030.png,others,red light,others,Vehicles,others,others
30,1,/content/output/7//FramesSavedHere/1/img_000031.png,others,red light,others,Pedestrians,others,violence
31,1,/content/output/7//FramesSavedHere/1/img_000032.png,others,others,side,others,single,others
32,1,/content/output/7//FramesSavedHere/1/img_000033.png,others,others,side,others,single,others
33,1,/content/output/7//FramesSavedHere/1/img_000034.png,others,others,side,others,single,others
34,1,/content/output/7//FramesSavedHere/1/img_000035.png,others,others,others,Security,others,violence
35,1,/content/output/7//FramesSavedHere/1/img_000036.png,others,others,others,others,others,others
36,1,/content/output/7//FramesSavedHere/1/img_000037.png,others,low light,others,Pedestrians,single,violence
37,1,/content/output/7//FramesSavedHere/1/img_000038.png,dark place,low light,others,others,others,violence
38,1,/content/output/7//FramesSavedHere/1/img_000039.png,dark place,others,others,Intruders,group,violence
39,1,/content/output/7//FramesSavedHere/1/img_000040.png,others,red light,others,Briefcases,group,violence
40,1,/content/output/7//FramesSavedHere/1/img_000041.png,vehicles,others,others,Pedestrians,group,others
41,1,/content/output/7//FramesSavedHere/1/img_000042.png,others,others,others,Pedestrians,group,others
42,1,/content/output/7//FramesSavedHere/1/img_000043.png,street,others,others,Pedestrians,single,expressions
43,1,/content/output/7//FramesSavedHere/1/img_000044.png,others,red light,others,Pedestrians,group,expressions
44,1,/content/output/7//FramesSavedHere/1/img_000045.png,others,others,side,others,single,others
45,1,/content/output/7//FramesSavedHere/1/img_000046.png,others,others,side,others,single,others
46,1,/content/output/7//FramesSavedHere/1/img_000047.png,others,others,side,others,single,others
47,1,/content/output/7//FramesSavedHere/1/img_000048.png,others,red light,others,others,single,others
48,1,/content/output/7//FramesSavedHere/1/img_000049.png,vehicles,red light,others,Trains,group,others
49,1,/content/output/7//FramesSavedHere/1/img_000050.png,vehicles,others,others,Trains,single,transportation
50,1,/content/output/7//FramesSavedHere/1/img_000051.png,others,others,others,Trains,single,substance use
51,1,/content/output/7//FramesSavedHere/1/img_000052.png,others,blue light,others,others,single,substance use
52,1,/content/output/7//FramesSavedHere/1/img_000053.png,others,others,side,others,single,others
53,1,/content/output/7//FramesSavedHere/1/img_000054.png,others,others,side,others,single,others
54,1,/content/output/7//FramesSavedHere/1/img_000055.png,others,others,side,others,single,others
55,1,/content/output/7//FramesSavedHere/1/img_000056.png,others,red light,others,Trains,single,others
56,1,/content/output/7//FramesSavedHere/1/img_000057.png,vehicles,red light,others,Trains,single,expressions
57,1,/content/output/7//FramesSavedHere/1/img_000058.png,others,others,others,Buses,single,expressions
58,1,/content/output/7//FramesSavedHere/1/img_000059.png,vehicles,others,side,Buses,single,expressions
59,1,/content/output/7//FramesSavedHere/1/img_000060.png,others,others,side,Buses,single,others
60,1,/content/output/7//FramesSavedHere/1/img_000061.png,others,others,others,others,single,others
61,1,/content/output/7//FramesSavedHere/1/img_000062.png,others,others,side,others,single,others
62,1,/content/output/7//FramesSavedHere/1/img_000063.png,others,others,side,others,single,others
63,1,/content/output/7//FramesSavedHere/1/img_000064.png,others,blue light,closeup,Buses,single,others
64,1,/content/output/7//FramesSavedHere/1/img_000065.png,others,low light,closeup,Buses,single,others
65,1,/content/output/7//FramesSavedHere/1/img_000066.png,others,blue light,closeup,Buses,single,others
66,1,/content/output/7//FramesSavedHere/1/img_000067.png,others,blue light,closeup,others,single,others
67,1,/content/output/7//FramesSavedHere/1/img_000068.png,others,others,others,Buses,single,others
68,1,/content/output/7//FramesSavedHere/1/img_000069.png,others,others,others,Buses,single,talking
69,1,/content/output/7//FramesSavedHere/1/img_000070.png,others,others,others,Trains,single,talking
70,1,/content/output/7//FramesSavedHere/1/img_000071.png,others,red light,side,others,group,others
71,1,/content/output/7//FramesSavedHere/1/img_000072.png,others,others,others,Intruders,group,violence
72,1,/content/output/7//FramesSavedHere/1/img_000073.png,others,others,side,Buses,group,others
73,1,/content/output/7//FramesSavedHere/1/img_000074.png,vehicles,others,others,Trains,single,others
74,1,/content/output/7//FramesSavedHere/1/img_000075.png,others,blue light,closeup,Buses,single,others
75,1,/content/output/7//FramesSavedHere/1/img_000076.png,others,low light,others,others,others,others
76,1,/content/output/7//FramesSavedHere/1/img_000077.png,others,blue light,others,Buses,single,others
77,1,/content/output/7//FramesSavedHere/1/img_000078.png,others,others,others,Trains,group,transportation
